"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\booked.h", "C++", 8, 0, 0, 2, 10
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\buypage.h", "C++", 18, 0, 1, 3, 22
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\cardch.h", "C++", 9, 0, 0, 3, 12
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\change.h", "C++", 13, 0, 0, 2, 15
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\change2.h", "C++", 9, 0, 0, 3, 12
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\checkin.h", "C++", 10, 0, 0, 2, 12
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\database.h", "C++", 74, 0, 1, 8, 83
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\dynamic.h", "C++", 14, 0, 0, 10, 24
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\flgstate.h", "C++", 19, 0, 0, 16, 35
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\hesuan.h", "C++", 8, 0, 0, 2, 10
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\history.h", "C", 0, 16, 0, 5, 21
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\htinfo.h", "C++", 9, 0, 0, 2, 11
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\hz.h", "C++", 4, 0, 0, 3, 7
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\login.h", "C++", 16, 0, 0, 2, 18
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\menu.h", "C", 0, 5, 1, 6, 12
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\mouse.h", "C++", 16, 0, 1, 2, 19
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\mycard.h", "C++", 9, 0, 0, 5, 14
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\pay.h", "C++", 10, 0, 0, 8, 18
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\payment.h", "C++", 11, 0, 0, 3, 14
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\prevent.h", "C++", 19, 0, 1, 4, 24
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\purchase.h", "C++", 12, 0, 0, 8, 20
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\queue.h", "C++", 21, 0, 0, 10, 31
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\register.h", "C++", 18, 0, 0, 2, 20
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\reserve.h", "C++", 15, 0, 0, 2, 17
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\scanpay.h", "C++", 9, 0, 0, 2, 11
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\tictdisp.h", "C++", 4, 0, 0, 2, 6
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\up.h", "C++", 9, 0, 0, 2, 11
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\upload.h", "C++", 7, 0, 0, 3, 10
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\userpage.h", "C++", 11, 0, 0, 3, 14
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HEAD\welcome.h", "C++", 4, 0, 0, 2, 6
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HZK\hz.c", "C", 0, 190, 5, 38, 233
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\HZK\hz.h", "C++", 4, 0, 0, 3, 7
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\MOUSE.C", "C++", 227, 0, 65, 22, 314
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\anime.c", "C", 0, 35, 207, 8, 250
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\booked.c", "C", 0, 287, 48, 20, 355
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\buypage.c", "C", 0, 1294, 125, 102, 1521
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\cardch.c", "C", 0, 322, 47, 16, 385
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\change.c", "C", 0, 549, 96, 87, 732
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\change2.c", "C", 0, 349, 68, 24, 441
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\checkin.c", "C", 0, 1179, 74, 13, 1266
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\dyanmic.c", "C", 0, 1647, 145, 141, 1933
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\flgstate.c", "C", 0, 1505, 203, 149, 1857
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\hesuan.c", "C", 0, 149, 32, 6, 187
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\history.c", "C", 0, 213, 44, 15, 272
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\htinfo.c", "C", 0, 221, 59, 11, 291
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\hz.c", "C", 0, 190, 5, 38, 233
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\login.c", "C", 0, 733, 122, 76, 931
"c:\Users\gaochenchao\Desktop\c_language\DISK_C\code\source\main.c", "C", 0, 184, 2, 12, 198
